symbol	1	2	3
ANGPT2	-0.8954062376013775	-0.7871148734578023	-1.0036976017449526
COL4A5	-0.9039154677700809	-0.4859196122380185	-1.3219113233021433
FGF9	-1.413111097290352	-0.7996550245439593	-2.0265671700367447
FRAS1	-1.549722080314618	-0.6070949673060151	-2.4923491933232205
FREM1	-2.0764526271958657	-1.4578503126084454	-2.695054941783286
IGF1	-1.0828538486349637	-0.7881164426575364	-1.377591254612391
IL15	-1.6909851460961045	-1.1857352698610037	-2.196235022331205
LAMA1	-1.5989831834325134	-1.086752253828533	-2.111214113036494
LAMA3	-1.5826044231539658	-1.276836505599198	-1.8883723407087336
LAMB1	-2.1716404119414507	-1.5717162995184846	-2.771564524364417
LAMC1	-1.0049012858138069	-0.7081647552287333	-1.3016378163988804
LAMC2	-0.9565319379627226	-0.6653560689911814	-1.247707806934264
PDGFC	-1.5126295722388359	-0.5618516820199715	-2.4634074624577003
PDGFD	-1.8290702242925614	-1.1367402197982164	-2.5214002287869066
SPP1	-1.3755294418009143	-0.7432422649343942	-2.0078166186674347
TNFSF10	-1.8849828167574845	-1.3649395407142748	-2.405026092800694
